Versuch;Users Nest GraphQL;Bookings Nest GraphQL;Parkingspaces Nest GraphQL;Users Nest REST;Bookings Nest REST;Parkingspaces Nest REST;Users Java GraphQL;Bookings Java GraphQL;Parkingspaces Java GraphQL;Users Java REST;Bookings Java REST;Parkingspaces Java REST
1;160;66;39;22;25;27;1323;657;530;1288;386;24
2;36;41;36;34;40;15;464;572;508;118;356;20
3;56;44;32;26;21;20;384;625;572;115;336;19
4;80;87;41;86;29;19;443;612;534;93;471;23
5;38;45;31;25;22;19;424;542;530;85;378;24
6;33;45;28;26;21;17;403;511;519;74;438;18
7;34;34;28;21;20;14;381;659;526;91;306;21
8;35;37;20;27;25;14;457;545;533;79;311;21
9;35;40;19;27;25;21;448;676;532;128;364;26
10;114;77;39;33;20;19;402;658;601;105;370;53
11;31;55;29;34;25;20;399;607;581;108;384;23
12;48;50;31;35;21;19;426;606;561;109;391;28
13;33;49;68;99;25;24;428;553;550;123;358;37
14;36;51;33;28;27;25;478;637;527;126;336;24
15;41;48;34;27;30;23;408;668;524;109;349;22
16;42;44;25;27;23;18;405;628;548;100;341;25
17;60;124;37;22;35;21;471;719;589;105;334;14
18;52;42;35;24;30;18;396;585;550;111;425;21
19;39;55;30;28;29;20;401;571;485;109;376;20
20;49;46;35;28;26;25;469;688;564;99;377;20
21;144;93;46;43;35;28;491;619;570;108;346;21
22;49;54;49;35;24;18;396;610;594;96;351;13
23;40;41;40;25;31;21;401;633;624;101;335;22
24;39;45;28;24;23;22;390;645;615;100;364;23
25;47;56;30;55;83;18;399;630;563;100;344;20
26;105;52;234;22;32;17;422;596;575;90;346;17
27;44;49;40;25;26;22;421;651;533;102;358;21
28;38;58;31;23;22;19;477;712;624;100;358;16
29;34;48;34;21;22;21;463;775;570;93;384;16
30;41;48;30;23;29;19;429;643;648;112;441;28
31;115;129;49;39;30;28;419;747;683;100;383;20
32;41;45;36;28;32;19;414;639;594;92;481;21
33;45;52;33;29;27;16;477;658;620;94;409;19
34;54;49;30;26;33;17;516;732;602;86;391;20
35;49;41;43;35;33;19;411;723;694;103;427;19
36;41;51;31;26;28;20;448;671;490;97;392;16
37;35;40;37;26;27;59;512;684;621;100;445;19
38;68;54;32;28;26;23;479;696;636;95;396;16
39;34;57;26;32;29;17;464;639;630;91;390;30
40;38;51;31;26;25;15;459;562;660;101;433;21
41;42;46;32;24;24;16;413;730;793;94;440;23
42;60;54;29;34;27;19;475;719;652;184;474;20
43;62;49;36;23;28;21;366;672;640;106;427;21
44;35;129;30;21;24;17;390;604;639;110;458;20
45;34;48;34;20;22;23;403;621;603;91;365;17
46;36;49;35;21;30;23;317;504;668;85;523;21
47;34;54;35;26;24;19;459;720;658;96;371;18
48;100;67;37;49;30;24;508;705;657;105;433;17
49;37;50;26;44;24;20;395;679;674;94;367;17
50;53;51;38;27;22;19;403;753;689;88;370;19
51;35;54;26;32;25;15;385;608;615;115;494;20
52;35;46;29;35;32;18;439;642;582;94;377;19
53;60;71;42;27;34;26;385;606;536;86;331;19
54;28;72;32;28;31;18;441;630;671;107;440;17
55;36;44;31;20;27;16;419;589;627;109;493;19
56;40;45;34;33;29;24;447;587;624;93;377;18
57;62;46;36;32;29;15;446;711;640;105;444;22
58;37;42;30;31;27;16;350;555;566;93;434;21
59;44;50;31;29;28;19;484;677;610;96;420;16
60;40;42;36;27;35;19;390;722;619;94;369;16
61;31;38;24;29;32;17;434;625;647;106;414;18
62;56;85;35;26;33;23;373;608;540;102;409;20
63;35;44;45;22;26;21;443;644;576;88;404;18
64;32;53;33;28;24;23;395;646;697;95;409;33
65;34;46;30;23;24;22;415;590;598;92;392;19
66;106;54;51;39;29;22;399;619;618;109;456;20
67;37;51;33;29;27;19;414;616;663;110;452;23
68;40;53;36;31;24;18;427;618;597;86;341;20
69;39;47;34;23;23;17;364;688;760;97;339;43
70;62;44;33;28;32;23;366;564;580;102;386;19
71;34;42;31;205;30;21;417;601;562;96;438;20
72;39;45;31;39;19;24;411;677;614;85;410;16
73;35;80;36;36;41;22;462;643;560;84;341;20
74;67;51;35;24;26;20;439;690;539;94;404;16
75;31;38;27;19;29;14;400;647;631;112;445;19
76;39;47;37;24;25;20;390;485;524;87;390;18
77;33;45;78;46;25;24;369;585;712;114;359;16
78;31;49;30;29;26;16;406;592;573;88;370;21
79;39;47;24;26;29;18;401;630;667;80;330;18
80;36;41;30;32;26;15;372;598;577;126;499;25
81;38;47;29;55;21;18;384;619;580;100;407;19
82;37;46;57;64;26;18;455;614;686;116;386;21
83;35;44;27;30;29;20;378;558;535;89;397;20
84;33;88;28;46;25;15;461;658;564;92;440;18
85;43;49;27;29;24;18;365;666;582;78;392;17
86;36;93;54;28;28;15;423;752;615;89;324;17
87;39;52;33;23;29;16;392;622;516;119;430;18
88;37;40;39;24;25;20;406;586;541;85;416;16
89;28;44;25;23;39;15;376;511;625;89;383;34
90;33;58;39;25;33;30;477;649;625;89;416;16
91;31;42;31;53;71;17;379;595;504;82;365;17
92;60;51;32;20;31;15;374;603;671;101;401;18
93;34;41;32;20;27;16;408;700;702;96;397;17
94;33;57;30;20;24;17;375;619;569;91;389;16
95;34;43;38;26;27;15;382;697;531;87;376;19
96;39;37;32;23;23;23;372;618;713;92;397;15
97;37;40;31;25;40;24;393;625;558;98;367;17
98;32;45;35;28;26;17;375;629;658;89;344;17
99;42;46;31;30;21;30;422;546;502;68;307;14
100;71;47;35;21;20;16;301;595;557;82;296;14
